,group id,BrainID,roi id,Count,Total Area,Average Size,%Area,Perim.,ROI um^2,ROI mm^2,#Cell Density/mm^2,Genotype,Sex,Treatment
0,I,1,ACAd,66,2888.95875,44.10375,2.27125,23.25525,129725.5958,0.129725596,521.8314656,GG,F,Chronic
1,I,1,ACAv,81.66666667,3729.240667,45.97266667,2.195666667,23.90466667,170399.4977,0.170399498,478.8921849,GG,F,Chronic
2,I,1,ACB,46,1725.718667,37.616,0.174666667,22.01033333,989661.3413,0.989661341,46.59397214,GG,F,Chronic
3,I,1,AId,14.66666667,644.936,44.52433333,0.408666667,22.63933333,160957.1273,0.160957127,93.26775375,GG,F,Chronic
4,I,1,AIv,30.66666667,1539.207667,50.88666667,0.428,24.67533333,358227.9683,0.358227968,86.58289895,GG,F,Chronic
5,I,1,BLA,18.66666667,977.6883333,51.91733333,0.799666667,24.60833333,121497.935,0.121497935,154.5273578,GG,F,Chronic
6,I,1,BST,57.33333333,2319.763333,40.74933333,0.698,21.72233333,338278.3153,0.338278315,171.5457488,GG,F,Chronic
7,I,1,CEA,3,113.5846667,37.86166667,0.043666667,20.14466667,315894.0567,0.315894057,10.78814897,GG,F,Chronic
8,I,1,CLA,13.66666667,668.495,46.99066667,1.144333333,23.34966667,54897.092,0.054897092,243.1113217,GG,F,Chronic
9,I,1,CP,147,5782.62825,39.29425,0.243,21.49025,2575218.26,2.57521826,61.66443648,GG,F,Chronic
10,I,1,DG,14.33333333,713.1376667,49.70266667,0.695666667,23.87766667,107942.571,0.107942571,139.966683,GG,F,Chronic
11,I,1,GPe,3.5,86.2665,23.903,0.031,16.598,305138.0445,0.305138045,12.13029304,GG,F,Chronic
12,I,1,GPi,8.5,398.9835,47.8715,0.2555,23.3325,158907.4635,0.158907464,53.46027064,GG,F,Chronic
13,I,1,ILA,27.5,1419.4475,51.671,1.1865,25.6945,121336.277,0.121336277,229.2611946,GG,F,Chronic
14,I,1,LH,4,163.9065,36.355,0.5765,20.6405,35686.352,0.035686352,138.9069142,GG,F,Chronic
15,I,1,LHA,18.66666667,654.1886667,35.279,0.149333333,19.834,448866.893,0.448866893,42.63386272,GG,F,Chronic
16,I,1,MH,14.33333333,593.802,42.39333333,1.371333333,23.24033333,43642.293,0.043642293,330.1837718,GG,F,Chronic
17,I,1,PAG,213.6666667,10301.634,47.37666667,0.858333333,23.125,1226220.703,1.226220703,177.7571335,GG,F,Chronic
18,I,1,PALv,30.66666667,1434.569333,40.19966667,0.258333333,21.31266667,576575.72,0.57657572,55.74635161,GG,F,Chronic
19,I,1,PL,107,5038.745,48.0575,2.4105,24.8585,208688.266,0.208688266,506.7340012,GG,F,Chronic
20,I,1,PVT,62.33333333,3163.110333,49.749,1.152666667,24.29933333,240755.8137,0.240755814,229.6224569,GG,F,Chronic
21,I,1,SNc,45,2175.549667,48.1,0.699,23.81733333,312999.068,0.312999068,146.0792291,GG,F,Chronic
22,I,1,SNr,24,1115.625667,47.46266667,0.252666667,23.33933333,454688.3127,0.454688313,54.3727775,GG,F,Chronic
23,I,1,VTA,45,2069.717,45.9645,0.9055,23.808,228435.114,0.228435114,197.0638783,GG,F,Chronic
